author,author_bio,author_gender,author_location,dailymotion_views,date,displayed_name,domain_url,engagement,external_author_id,external_id,external_provider,facebook_likes,facebook_shares,fluency_level,full_text,language,num_comments,num_followers,porn_level,post_type,reach,reply_to_author,reply_to_tweet_id,Sentiment,source_alexa_pageviews,source_alexa_unique_visitors,source_city,source_continent,source_country,source_country_code,source_name,source_region,source_type_detail,source_type_general,spam_level,tags_customer,tags_internal,title,trending_score,twitter_likes,twitter_shares,url,vkontakte_likes,vkontakte_shares,word_count,youtube_dislikes,youtube_likes,youtube_views,num_reposts,num_likes,official,outlier_author,outlier_text,sponsorship,HCP,topic,sentiment_positive,sentiment_negative,sentiment_neutral,key_content_text,sentiment
davidhenrymd,"Practicing MD Hematologist Oncologist 
Vice Chair Dept of Medicine Pennsylvania Hospital Blood&Cancer host Research-supportive care @MDedgeTweets @MDedgeHemeOnc",,"Philadelphia, PA",,2020-01-17 11:00:07+00:00,David Henry,http://twitter.com/,0.0,,1.218125841735045e+18,,0.0,0.0,,Study from #ASH19 analyzed yield of bone marrow biopsy in elderly pts w/ ITP where we worry MDS may be brewing. Nic… https://t.co/12wNBO2tYu,en,0.0,1771.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,0.0,https://twitter.com/davidhenrymd/statuses/1218125841735045121,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,Diagnostic Tools,0.0,0.0,1.0,Study from #ASH19 analyzed yield of bone marrow biopsy in elderly pts w/ ITP where we worry MDS may be brewing. Nic… https://t.co/12wNBO2tYu,true
oncologytube,"Produce, Find, and Distribute the latest and highest quality  multimedia to oncologists, hematologists and researchers.",,"Temecula, CA",,2020-01-17 17:28:08+00:00,Oncology Tube,http://twitter.com/,0.0,,1.218223493222785e+18,,0.0,0.0,,"MANIFEST, a Phase 2 Study of CPI-0610 @MountSinaiNYC #ASH #ASH19: John Mascarenhas, MD of @MountSinaiNYC discusses… https://t.co/VsYH6AjjRy",en,0.0,14785.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,0.0,https://twitter.com/oncologytube/statuses/1218223493222785026,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,Clinical Trials,0.0,0.0,1.0,"MANIFEST, a Phase 2 Study of CPI-0610 @MountSinaiNYC #ASH #ASH19: John Mascarenhas, MD of @MountSinaiNYC discusses… https://t.co/VsYH6AjjRy",true
DrJonnys,Consultant General Surgery . former doctor at (CAF)👮🏻‍♂️ / Anatomist. #umanitoba #uwinnipeg @Harvard,,"Winnipeg, Manitoba",,2020-02-10 16:38:51+00:00,𝐷𝑟. 𝐽𝑜ℎ𝑛𝑛𝑦 𝑆𝑡𝑒𝑤𝑎𝑟𝑡⁦🇨🇦⁩🌈🍁,http://twitter.com/,21.0,,1.226908397792002e+18,,0.0,0.0,,RT @DrRaulCordoba: @DrAlbertoLG presents results of a collaborative research between @Hospital_FJD and #somosclinico about cardiovascular t…,en,0.0,5806.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,11.0,10.0,https://twitter.com/DrJonnys/statuses/1226908397792002048,0.0,0.0,,0.0,0.0,0.0,10.0,11.0,False,False,False,False,True,Collaboration,0.0,0.0,1.0,RT @DrRaulCordoba: @DrAlbertoLG presents results of a collaborative research between @Hospital_FJD and #somosclinico about cardiovascular t…,false
AdityaSharma_MD,Pediatric hematologist/oncologist. Amateur photographer. Martini traveler.,,"Los Angeles, CA",,2020-02-11 06:00:08+00:00,"Aditya Sharma,MD",http://twitter.com/,72.0,,1.2271100475677983e+18,,0.0,0.0,,"RT @7eyeblink: Anti infective prophylaxis EBMT recommendations after CAR-T Cell infusion, now in #CART20 #CART2020 #CARTMeeting https://t.c…",en,0.0,59.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,50.0,22.0,https://twitter.com/AdityaSharma_MD/statuses/1227110047567798274,0.0,0.0,,0.0,0.0,0.0,22.0,50.0,False,False,False,False,True,Side Effects,0.0,0.0,1.0,"RT @7eyeblink: Anti infective prophylaxis EBMT recommendations after CAR-T Cell infusion, now in #CART20 #CART2020 #CARTMeeting https://t.c…",true
oncologytube,"Produce, Find, and Distribute the latest and highest quality  multimedia to oncologists, hematologists and researchers.",,"Temecula, CA",,2020-02-04 15:43:04+00:00,Oncology Tube,http://twitter.com/,0.0,,1.2247200305515602e+18,,0.0,0.0,,Dose Optimization Portion of the Phase 2 PRIMO Study in Relapsed or Refractory PTCL #ASH19 @sloan_kettering: Steven… https://t.co/gVtI92tVdk,en,0.0,14785.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,0.0,https://twitter.com/oncologytube/statuses/1224720030551560192,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,Clinical Trials,0.0,0.0,1.0,Dose Optimization Portion of the Phase 2 PRIMO Study in Relapsed or Refractory PTCL #ASH19 @sloan_kettering: Steven… https://t.co/gVtI92tVdk,true
_VaibhavAgrawal,"Blood and Marrow Transplantation and Cellular Therapy Fellow @StanfordMed | MD, MBA, MJ, MSHA | @Stanford @StanfordHealth",,,,2020-02-21 17:09:14+00:00,Vaibhav Agrawal,http://twitter.com/,11.0,,1.2309023109283553e+18,,0.0,0.0,,RT @DrM_AbuZaid: Dr. Sherif Farag @IUSMDeptMed presenting results of ph2 study of sitagliptin to prevent acute GVHD. Sitagliptin reduced aG…,en,0.0,233.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,10.0,1.0,https://twitter.com/_VaibhavAgrawal/statuses/1230902310928355328,0.0,0.0,,0.0,0.0,0.0,1.0,10.0,False,False,False,False,True,Clinical Trials,0.0,0.0,1.0,RT @DrM_AbuZaid: Dr. Sherif Farag @IUSMDeptMed presenting results of ph2 study of sitagliptin to prevent acute GVHD. Sitagliptin reduced aG…,true
oncologytube,"Produce, Find, and Distribute the latest and highest quality  multimedia to oncologists, hematologists and researchers.",,"Temecula, CA",,2020-01-18 17:39:03+00:00,Oncology Tube,http://twitter.com/,0.0,,1.2185886279548764e+18,,0.0,0.0,,Venetoclax-Rituximab (VenR) in Relapsed Refractory (R/R) CLL: How This Affects Clinicians? #ASH19 #ASH: John Seymou… https://t.co/b9R2H04W2C,en,0.0,14785.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,0.0,https://twitter.com/oncologytube/statuses/1218588627954876416,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,Diagnosis Progression,0.0,0.0,1.0,Venetoclax-Rituximab (VenR) in Relapsed Refractory (R/R) CLL: How This Affects Clinicians? #ASH19 #ASH: John Seymou… https://t.co/b9R2H04W2C,true
oncologytube,"Produce, Find, and Distribute the latest and highest quality  multimedia to oncologists, hematologists and researchers.",,"Temecula, CA",,2020-01-18 19:19:02+00:00,Oncology Tube,http://twitter.com/,0.0,,1.2186137898152591e+18,,0.0,0.0,,"Phase III Lumoxiti #ASH19: Robert Kreitman, MD of National Cancer Institute discusses Lumoxiti® phase III trial in… https://t.co/m4E8VYQPRP",en,0.0,14785.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,0.0,https://twitter.com/oncologytube/statuses/1218613789815259136,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,FDA Approval,0.0,0.0,1.0,"Phase III Lumoxiti #ASH19: Robert Kreitman, MD of National Cancer Institute discusses Lumoxiti® phase III trial in… https://t.co/m4E8VYQPRP",false
hemedoc,"UCSF hematology/BMT doc. Assoc Prof. Translational researcher interested in leukemia, MDS, MRD, post-HCT relapse, GVHD, & immune recon. Photos: pyknosis (IG)",,"San Francisco, CA",,2020-02-21 12:19:09+00:00,"Aaron Logan, MD, PhD, MPhil — DONATE BLOOD!",http://twitter.com/,1.0,,1.2308293105687306e+18,,0.0,0.0,,#TCTM20 Ferrara: MAGIC biomarkers can be considered a “liquid biopsy” to assess tissue damage occurring in setting… https://t.co/3L8t875LCm,en,0.0,4813.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,1.0,https://twitter.com/hemedoc/statuses/1230829310568730627,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,False,False,False,False,True,Diagnostic Tools,0.0,0.0,1.0,#TCTM20 Ferrara: MAGIC biomarkers can be considered a “liquid biopsy” to assess tissue damage occurring in setting… https://t.co/3L8t875LCm,true
_VaibhavAgrawal,"Blood and Marrow Transplantation and Cellular Therapy Fellow @StanfordMed | MD, MBA, MJ, MSHA | @Stanford @StanfordHealth",,,,2020-02-21 23:07:33+00:00,Vaibhav Agrawal,http://twitter.com/,10.0,,1.230992482671956e+18,,0.0,0.0,,RT @AkshaySharmaMD: #TCTM20 Popat from @MDAndersonNews You can still give fractionated myeloablative chemotherapy and reduce toxicity but n…,en,0.0,233.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,5.0,5.0,https://twitter.com/_VaibhavAgrawal/statuses/1230992482671955973,0.0,0.0,,0.0,0.0,0.0,5.0,5.0,False,False,False,False,True,Innovation,0.0,0.0,1.0,RT @AkshaySharmaMD: #TCTM20 Popat from @MDAndersonNews You can still give fractionated myeloablative chemotherapy and reduce toxicity but n…,true
